time,p_rgh,omega,k
0.300024,2.7704275e-11,2.6312466e-09,1.4599796e-08
0.300048,2.0084695e-11,2.6502596e-09,1.4049786e-08
0.300072,2.3364087e-11,2.6910974e-09,1.377791e-08
0.300096,2.4630632e-11,2.7384774e-09,1.3684064e-08
0.30012,2.5054311e-11,2.7859334e-09,1.3645279e-08
0.300144,2.5193448e-11,2.8240738e-09,1.3552333e-08
0.300168,2.4049637e-11,2.8580431e-09,1.3475999e-08
0.300191,2.2442672e-11,2.8980909e-09,1.3534699e-08
0.300215,2.2988902e-11,2.9313439e-09,1.3692559e-08
0.300239,2.5071363e-11,2.9388244e-09,1.3646501e-08
0.300263,2.5527107e-11,2.9473777e-09,1.3765817e-08
0.300287,2.5749937e-11,2.9536032e-09,1.3894024e-08
0.300311,2.5970101e-11,2.9604767e-09,1.403269e-08
0.300335,2.6410124e-11,2.9689057e-09,1.4194432e-08
0.300359,2.6992355e-11,2.9755492e-09,1.4402268e-08
0.300383,2.7419343e-11,2.9871268e-09,1.465276e-08
0.300407,3.0204959e-11,2.9988032e-09,1.4922637e-08
0.300431,3.0296047e-11,3.0121944e-09,1.5210117e-08
0.300454,3.0966993e-11,3.0232824e-09,1.549459e-08
0.300478,3.0432146e-11,3.0433719e-09,1.5838422e-08
0.300502,3.0003477e-11,3.0762808e-09,1.6272073e-08
0.300526,2.94404e-11,3.0974531e-09,1.6528015e-08
0.30055,2.910948e-11,3.118924e-09,1.684612e-08
0.300574,2.9732511e-11,3.1357664e-09,1.7139093e-08
0.300598,2.952248e-11,3.1527991e-09,1.7427855e-08
0.300621,2.8235691e-11,3.1673318e-09,1.7697116e-08
0.300645,2.801299e-11,3.1855447e-09,1.7993379e-08
0.300669,2.7402185e-11,3.1993544e-09,1.8211613e-08
0.300693,2.6735264e-11,3.2103258e-09,1.8403032e-08
0.300717,2.5161792e-11,3.217676e-09,1.8550518e-08
0.300741,2.3805504e-11,3.2220199e-09,1.8670068e-08
0.300764,2.1969475e-11,3.2240127e-09,1.8767274e-08
0.300788,1.8329565e-11,3.2244935e-09,1.8838822e-08
0.300812,1.1522968e-11,3.2227436e-09,1.8886523e-08
0.300836,9.8929708e-12,3.2220518e-09,1.8909522e-08
0.30086,9.0967283e-12,3.2210663e-09,1.8911301e-08
0.300883,8.7101625e-12,3.2147361e-09,1.8893521e-08
0.300907,9.6329989e-12,3.2062317e-09,1.8857945e-08
0.300931,9.0558944e-12,3.2025078e-09,1.8841703e-08
0.300955,1.0864744e-11,3.2042193e-09,1.8906417e-08
0.300978,1.1664392e-11,3.2038577e-09,1.8911901e-08
0.301002,1.2333111e-11,3.2029929e-09,1.8856363e-08
0.301026,1.2336693e-11,3.1926474e-09,1.8740695e-08
0.30105,1.2708223e-11,3.1727785e-09,1.8695144e-08
0.301073,1.2932235e-11,3.173333e-09,1.8942417e-08
0.301097,1.3291928e-11,3.2028567e-09,1.904433e-08
0.301121,1.3502915e-11,3.1925788e-09,1.9070135e-08
0.301145,1.3933065e-11,3.1651693e-09,1.9071414e-08
0.301168,1.4612911e-11,3.1520338e-09,1.9156646e-08
